Category,Level1,Level2,Level3,Level4,Button1,,None,Button2,Button3,Total
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Australia",Avnet EM ,0.01,,0,0.22,0.04,0.27
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Australia",Scielex  ,0.24,,0,0.11,1.97,2.32
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Australia",Wattcost Pty. ,10.05,,0,26.35,30.89,67.29
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Austria",abatec electronic ,1.24,,0,0.62,4.84,6.69
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Austria",Graf Elektronik ,0.07,,0,0.03,3.48,3.59
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Austria",Seidel Elektronik,0,,0,0,44.43,44.43
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Austria",Technosert Electronic ,0.03,,0,0.08,0.5,0.61
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Bosch (Zhuhai)Security ,3.93,,0,1.99,5.62,11.53
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Compal  ,11.78,,0,5.96,13.35,31.08
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Flextronics Manufacturing ,394.84,,0,103,0,497.84
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Guangzhou Meadville ,0,,0,0,152.96,152.96
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Ichia Tech ,49.09,,0,2005.79,222.58,2277.46
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Jabil Circuit ,0.05,,0,1.14,0.21,1.4
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Kaide Test ,19.64,,0,9.93,28.08,57.65
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Mflex Suzhou ,6.32,,0,3.2,8.33,17.85
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Plexus (Xiamen) ,0,,0,7.1,1.77,8.87
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Samsung Electronics ,9260.63,,0,30862.42,0,40123.05
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",SAMSUNG HIGH-TECH ,0,,0,238.95,0,238.95
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Shenzhen Samsung ,0,,0,0,47.84,47.84
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Tech-Giant (Shanghai) ,13.01,,0,9.24,10.08,32.32
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"China",Tianjin Samsung ,495.94,,0,10471.18,0,10967.12
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Czech Republic",Befra Electronic ,9.82,,0,4.96,12.29,27.07
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Finland",Compel International ,41.36,,0,20.9,47.69,109.95
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"France",Crossway Technologies,0,,0,4.55,0,4.55
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"France",Racouchot Service ,0.49,,0,0.21,3.94,4.64
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"France",Sicap Electronique,0,,0,0,0.68,0.68
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"France",Solinov Sas,0.08,,0,1.49,0.58,2.16
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",AB-Tron GmbH,43.2,,0,21.84,48.93,113.97
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",Asteelflash Eberbach ,0,,0,0,1.05,1.05
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",Avnet Logistics ,101.24,,0,530.5,300.31,932.04
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",Avnet Silica,0.33,,0,0.82,5.86,7.01
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",Boning Automationstechnologie ,7.17,,0,0,5.98,13.15
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",krauth technology ,0.33,,0,0,0,0.33
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",Osram AG,0.4,,0,7.45,2.92,10.78
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",Symmetron GmbH,0.49,,0,0.25,0.56,1.3
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",TQ-Systems GmbH,0,,0,1.12,3.32,4.44
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Germany",Zatron Elektronik ,0,,0,0,11.68,11.68
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Hong Kong",Avnet Sunrise ,44.07,,0,49.56,137.5,231.13
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Hong Kong",CEAC International ,0,,0,0,14.01,14.01
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Hong Kong","Chinaecnet Co., ",0,,0,0,1.17,1.17
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Hong Kong",GEO Semiconductor ,0,,0,0,80.69,80.69
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Hong Kong",Gillanix HK ,317.39,,0,163.11,354.83,835.33
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Hong Kong",Longcheer Telecommunication ,0,,0,0,2510.52,2510.52
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Hong Kong",Tomen Electronics(Hong ,24.55,,0,12.41,44.15,81.11
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Hong Kong",WT Microelectronics ,17.23,,0,49,7647.03,7713.27
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"India",M/s Samsung ,601.73,,0,1377.79,0,1979.52
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Ireland",FMG Electronics ,20.93,,0,387.62,151.82,560.36
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Israel",Elbit Systems,104.51,,0,145.1,215.31,464.93
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Israel",Flextronics Israel ,0,,0,0,6.12,6.12
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Israel",Tritech Limited,13.21,,0,91.48,67.05,171.74
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Avnet K.K.,79.08,,0,0.53,5.69,85.31
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Forty Factory,0.81,,0,14.91,5.84,21.55
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Marubun Corporation,0.9,,0,4479.3,3.87,4484.07
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Nichiho Eletronics ,0,,0,0,6.98,6.98
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Sekishin Denshi ,0,,0,1.58,1.26,2.84
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Sony Corporation ,0.81,,0,14.91,7.07,22.79
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Sony Engineering ,12.93,,0,73.41,476.37,562.71
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Tachibana Eletech,0.13,,0,3.31,0.6,4.04
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Tomen Electronics,14.65,,0,54.84,42.71,112.19
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Japan",Trancy Inc,0,,0,0,3.49,3.49
Samples Data,Samples Program TTL,Advanced Sensor Products BU,Korea,LG Electronics. ,0,,0,0,296.72,296.72
Samples Data,Samples Program TTL,Advanced Sensor Products BU,Korea,Samsung Electro-Mechanics ,0,,0,328.55,0,328.55
Samples Data,Samples Program TTL,Advanced Sensor Products BU,Korea,Samsung Electronics ,16705.94,,0,29209.08,0,45915.02
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Mexico",Jabil Circuit ,0,,0,0,2.84,2.84
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Puerto Rico",Lutron SM ,0,,0,0,1.17,1.17
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Romania",Continental Automotive ,0,,0,0,0.68,0.68
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Singapore",Avnet Asia ,147.28,,0,74.45,176.16,397.89
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Singapore",Qualcomm Global ,1.35,,0,11602.42,20715.29,32319.05
Samples Data,Samples Program TTL,Advanced Sensor Products BU,"Singapore",Tomen (Singapore) ,0,,0,2.13,0.53,2.66
