Category,Level1,Level2,Level3,Level4,Button1,,None,Button2,Button3,Total
Samples Data,Samples Program TTL,"Argentina",Automotive,Famar Fueguina ,0,,0,0.13,0.07,0.2
Samples Data,Samples Program TTL,"Argentina",Core Product Grp,Edinec SRL,3.42,,0,2.84,15.09,21.36
Samples Data,Samples Program TTL,"Argentina",Core Product Grp,Quantum Laser ,0.01,,0,0,0.01,0.03
Samples Data,Samples Program TTL,"Argentina",Micro&Security,Akribis Srl,1.03,,0,1.67,1.19,3.89
Samples Data,Samples Program TTL,"Argentina",Micro&Security,Cika Electronica ,0.81,,0,1.03,1.06,2.9
Samples Data,Samples Program TTL,"Argentina",Micro&Security,Datasense,0.1,,0,0.16,0.15,0.4
Samples Data,Samples Program TTL,"Argentina",Micro&Security,Vargas Pablo ,0.14,,0,0.22,0.2,0.56
Samples Data,Samples Program TTL,"Australia",Advanced Sensor Products BU,Avnet EM ,0.01,,0,0.22,0.04,0.27
Samples Data,Samples Program TTL,"Australia",Advanced Sensor Products BU,Scielex  ,0.24,,0,0.11,1.97,2.32
Samples Data,Samples Program TTL,"Australia",Advanced Sensor Products BU,Wattcost Pty. ,10.05,,0,26.35,30.89,67.29
Samples Data,Samples Program TTL,"Australia",Automotive,Advanced Navigation ,28.37,,0,185.1,38.64,252.12
Samples Data,Samples Program TTL,"Australia",Automotive,Avnet EM ,0.41,,0,0,0.06,0.47
Samples Data,Samples Program TTL,"Australia",Automotive,Continental Pty ,1.41,,0,0.3,0.18,1.89
Samples Data,Samples Program TTL,"Australia",Automotive,Extel Technologies ,0.38,,0,0.59,0.43,1.4
Samples Data,Samples Program TTL,"Australia",Automotive,Ness Corporation,1.32,,0,0,0.22,1.54
Samples Data,Samples Program TTL,"Australia",Automotive,Pervasive Telemetry ,31.77,,0,0,0.1,31.87
Samples Data,Samples Program TTL,"Australia",Automotive,Tresmine Pty ,55.18,,0,31.53,148.72,235.43
Samples Data,Samples Program TTL,"Australia",Cloud&Data,Avnet EM ,5.75,,0,6.29,24.92,36.96
Samples Data,Samples Program TTL,"Australia",Cloud&Data,Electromagnetic Imaging ,0,,0,0.02,0.02,0.05
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Advanced Technology,0,,0,0.01,0.01,0.01
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Alfatron Propriety ,4.08,,0,0.52,0.61,5.22
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Amatek Pty ,0.01,,0,0.05,0.18,0.23
Samples Data,Samples Program TTL,"Australia",Core Product Grp,ANCA Motion ,1.34,,0,14.99,73.9,90.23
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Arrow Electronics,0.39,,0,0.36,0.98,1.73
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Avnet EM ,151.4,,0,205.52,287.91,644.83
Samples Data,Samples Program TTL,"Australia",Core Product Grp,CE Australia ,1.74,,0,0.53,0.47,2.74
Samples Data,Samples Program TTL,"Australia",Core Product Grp,CEA Technologies ,8.66,,0,11.27,5.62,25.55
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Dontek Electronics ,8.36,,0,11.57,23.66,43.58
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Duet Electronics,16.69,,0,11.27,48.3,76.26
Samples Data,Samples Program TTL,"Australia",Core Product Grp,EMT Electronics ,1.93,,0,3.66,5.74,11.34
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Entech Electronic ,0.15,,0,0.36,1.15,1.66
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Extel Technologies ,1.1,,0,2.43,3.86,7.39
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Globenet Green ,5.2,,0,6.27,12.67,24.13
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Holman Engineering,0.1,,0,0.19,0.3,0.59
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Intellidesign Proprietary ,0.05,,0,0,0,0.05
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Michael Spiteri,0.19,,0,0.18,0.4,0.77
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Micronix c/o ,3.37,,0,2.28,4.78,10.43
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Pervasive Telemetry ,11.12,,0,17.53,17.02,45.67
Samples Data,Samples Program TTL,"Australia",Core Product Grp,RFDesign Pty. ,4.85,,0,4.21,3.7,12.77
Samples Data,Samples Program TTL,"Australia",Core Product Grp,Sigma Delta ,0.02,,0,0.03,0.02,0.06
Samples Data,Samples Program TTL,"Australia",Core Product Grp,SRXGlobal (AU) ,3.62,,0,3.49,5.07,12.18
Samples Data,Samples Program TTL,"Australia",Core Product Grp,TCM Electronics,0.26,,0,0.49,1.06,1.81
Samples Data,Samples Program TTL,"Australia",Ind&Healthcare,AllSolus,0.01,,0,0.01,0.11,0.13
Samples Data,Samples Program TTL,"Australia",Ind&Healthcare,Arrow Electronics,2.81,,0,1.93,0.84,5.58
Samples Data,Samples Program TTL,"Australia",Ind&Healthcare,Avnet EM ,114.57,,0,51.1,21.46,187.14
Samples Data,Samples Program TTL,"Australia",Ind&Healthcare,Burtek Pty ,0.19,,0,0.72,0.04,0.95
Samples Data,Samples Program TTL,"Australia",Ind&Healthcare,CE Australia ,2.53,,0,6.42,13.51,22.46
Samples Data,Samples Program TTL,"Australia",Ind&Healthcare,Mission 4 ,2.88,,0,0.34,53.65,56.87
Samples Data,Samples Program TTL,"Australia",Ind&Healthcare,Ness Corporation,11.56,,0,6.94,5.78,24.28
Samples Data,Samples Program TTL,"Australia",Ind&Healthcare,Pervasive Telemetry ,0,,0,0,0.01,0.02
Samples Data,Samples Program TTL,"Australia",Ind&Healthcare,SRXGlobal (AU) ,8.18,,0,9.71,4.13,22.02
Samples Data,Samples Program TTL,"Australia",Micro&Security,Avnet EM ,373.21,,0,3356.55,14673.66,18403.42
Samples Data,Samples Program TTL,"Australia",Micro&Security,Chubb Fire ,0.01,,0,0.02,0.02,0.04
Samples Data,Samples Program TTL,"Australia",Micro&Security,Cirrus Logic,0.02,,0,0.04,0.03,0.1
Samples Data,Samples Program TTL,"Australia",Micro&Security,Dallas Identification ,8.12,,0,13.14,12.62,33.88
Samples Data,Samples Program TTL,"Australia",Micro&Security,EIA Services,0,,0,0,0,0.01
Samples Data,Samples Program TTL,"Australia",Micro&Security,Electro-Com,0.11,,0,0.01,0.17,0.29
Samples Data,Samples Program TTL,"Australia",Micro&Security,Extel Technologies ,0,,0,1.67,21.52,23.2
Samples Data,Samples Program TTL,"Australia",Micro&Security,Julia Riley,0,,0,0,0,0.01
Samples Data,Samples Program TTL,"Australia",Micro&Security,La Trobe ,0.29,,0,0.52,0.33,1.14
Samples Data,Samples Program TTL,"Australia",Micro&Security,Maxim Forensic ,6.2,,0,4.14,0,10.34
Samples Data,Samples Program TTL,"Australia",Micro&Security,Mediteq,93.04,,0,5.76,0,98.8
Samples Data,Samples Program TTL,"Australia",Micro&Security,Monash University,0.75,,0,1.34,0.81,2.9
Samples Data,Samples Program TTL,"Australia",Micro&Security,Murdoch University,0,,0,0,0,0.01
Samples Data,Samples Program TTL,"Australia",Micro&Security,Onsolution,97.34,,0,9.06,8.53,114.93
Samples Data,Samples Program TTL,"Australia",Micro&Security,Premier Batteries ,0.01,,0,0.01,0.01,0.03
Samples Data,Samples Program TTL,"Australia",Micro&Security,Romteck Pty. ,0,,0,0.01,0.01,0.02
Samples Data,Samples Program TTL,"Australia",Micro&Security,Temperature Technology,25.42,,0,5.19,1.3,31.9
Samples Data,Samples Program TTL,"Australia",Micro&Security,The University ,0.01,,0,0.01,0.01,0.03
Samples Data,Samples Program TTL,"Australia",Micro&Security,Thermodata Pty ,3.03,,0,5.17,2.74,10.93
Samples Data,Samples Program TTL,"Australia",Micro&Security,Tropical Forestry ,0.01,,0,0.02,0.01,0.04
Samples Data,Samples Program TTL,"Australia",Micro&Security,University of ,3.89,,0,12.75,25.87,42.51
Samples Data,Samples Program TTL,"Australia",Micro&Security,Vix Technology ,0.17,,0,0,0.09,0.26
Samples Data,Samples Program TTL,"Australia",Micro&Security,Webezi Pty ,0.08,,0,0.15,0.12,0.35
Samples Data,Samples Program TTL,"Australia",MOBILE,Avnet EM ,0.34,,0,0,4.25,4.59
Samples Data,Samples Program TTL,"Australia",MOBILE,Extel Technologies ,11.67,,0,14.62,12.89,39.18
Samples Data,Samples Program TTL,"Australia",Mobile Solutions BU,Ad Hoc ,0,,0,0.69,3.48,4.17
Samples Data,Samples Program TTL,"Australia",Mobile Solutions BU,Avnet EM ,22.54,,0,30.3,25.52,78.36
Samples Data,Samples Program TTL,"Australia",Mobile Solutions BU,Michael Spiteri,7.71,,0,20.58,8.36,36.65
Samples Data,Samples Program TTL,"Australia",Mobile Solutions BU,Pennington Scott ,0.1,,0,0.35,1.43,1.88
Samples Data,Samples Program TTL,"Australia",Mobile Solutions BU,Wattcost Pty. ,88.6,,0,487.3,575.91,1151.81
Samples Data,Samples Program TTL,"Austria",Advanced Sensor Products BU,abatec electronic ,1.24,,0,0.62,4.84,6.69
Samples Data,Samples Program TTL,"Austria",Advanced Sensor Products BU,Graf Elektronik ,0.07,,0,0.03,3.48,3.59
Samples Data,Samples Program TTL,"Austria",Advanced Sensor Products BU,Seidel Elektronik,0,,0,0,44.43,44.43
Samples Data,Samples Program TTL,"Austria",Advanced Sensor Products BU,Technosert Electronic ,0.03,,0,0.08,0.5,0.61
Samples Data,Samples Program TTL,"Austria",Automotive,Continental Automotive ,32,,0,11.2,0,43.19
Samples Data,Samples Program TTL,"Austria",Automotive,Digital Elektronik ,105.76,,0,144.88,13.9,264.54
Samples Data,Samples Program TTL,"Austria",Automotive,IDEA Electronic ,0.51,,0,0.44,1.77,2.72
Samples Data,Samples Program TTL,"Austria",Automotive,Melecs EWS ,8.09,,0,10.64,23.2,41.92
Samples Data,Samples Program TTL,"Austria",Automotive,Riegl Laser ,0.04,,0,0.24,0.11,0.4
Samples Data,Samples Program TTL,"Austria",Automotive,Sawi Electronic ,0.82,,0,0.25,1.28,2.35
Samples Data,Samples Program TTL,"Austria",Automotive,Seidel Elektronik,0,,0,0,0.21,0.21
Samples Data,Samples Program TTL,"Austria",Automotive,System Industrie ,2.65,,0,0.18,5.67,8.51
Samples Data,Samples Program TTL,"Austria",Automotive,Technosert Electronic ,0.22,,0,0,0.18,0.4
Samples Data,Samples Program TTL,"Austria",Cloud&Data,abatec electronic ,6.5,,0,4.67,4.68,15.84
Samples Data,Samples Program TTL,"Austria",Cloud&Data,Alge Electronic ,3.55,,0,0.78,1.15,5.48
